#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
252,two,Sequential,Ordering,19.4,13.8,261.6,51.2,16.3,23.1,49.3,30.2
253,on the whole,Clarification,Generalization,19.4,7,14.6,4.1,14.7,3.3,12.8,4.1
254,I believe,Clarification,Corroborative,19.4,31.3,85.8,161,18.3,35.6,42.6,62.4
255,generally,Sequential,Timing,19.2,18.1,4.9,6.2,5.8,7.6,117.9,80.1
256,by the time,Sequential,Transitionals,19.2,18.6,38.2,27.1,33.7,42,37.6,39.6
257,emphasize,Clarification,Emphasizing,19.1,40.9,6.6,10.8,8.2,11.6,6.8,15.5
258,in any event,Contrastive,Concessive,19,5.5,4.2,3.1,4.9,2.6,7.1,3.3
259,in most cases,Clarification,Generalization,18.8,11.2,2.9,4.1,10.2,6.5,7.8,5.8
260,nonetheless,Contrastive,Concessive,18.7,48.5,1.2,10.1,7.1,19.8,6.9,22
261,formerly,Sequential,Transitionals,18.7,18.2,1,5.5,37.2,18.2,20.1,12.9
262,in reality,Clarification,Corroborative,18.5,13,3.4,5.3,15,7.4,10.5,7.5
263,anyway,Contrastive,Concessive,18.4,0.6,522.9,2.9,26.8,1.2,119.8,4
264,alike,Apposition,Exemplification,18.3,22.7,3.9,8.8,17.7,19.1,14.7,16.8
265,on the contrary,Contrastive,Antithetic,18.3,13.2,1.3,1.8,10.8,3.4,8.3,5.1
266,furthermore,Clarification,Emphasizing,17.4,4.8,0.2,0.4,4.6,1.2,29.8,25
267,that is to say,Clarification,Corroborative,17,6,3.5,3.7,7.8,0.8,7.5,2.8
268,either,Additive,Equative,17,6.7,8.2,3.8,8.4,11.4,9,3.8
269,resulting in,Consequential,Resultative,17,27.5,1,1.4,11.9,8.6,8.9,9.4
270,from time to time,Sequential,Transitionals,16.5,5.3,9.4,7.7,16.7,6.1,17,8.1
271,I mean,Clarification,Corroborative,15.9,10.7,2042.9,970.5,12.3,24.1,251,239.1
272,repeatedly,Sequential,Transitionals,15.3,29.5,2.6,18.9,20.4,26.5,12.8,22.6
273,in comparison,Contrastive,Antithetic,15,17.8,3.4,2.1,9.2,4.9,7.8,6.5
274,temporarily,Sequential,Timing,14.5,12.6,2.5,6.4,19.8,14,12.9,11
275,matching,Comparison,,14.4,15.5,4.3,4.9,10.7,15.2,14,13.4
276,be sure,Clarification,Emphasizing,14.3,24.4,9.5,16,18.5,34.9,20,28
277,as though,Comparison,,14,14.1,36.5,21.6,22.9,17.7,51.8,36.8
278,as an example,Apposition,Exemplification,13.7,11,4.2,4.3,6.4,4.7,6,5.2
279,for this purpose,Consequential,Resultative,13.7,4.6,1.1,0.4,9,1.1,6.5,1.5
280,seemingly,Clarification,Corroborative,13.6,27.4,2.1,7.8,13.6,52.9,12.3,19.7
281,admittedly,Contrastive,Concessive,13.6,7.6,5.3,2.4,6.9,4.5,7.2,4.4
282,till,Sequential,Transitionals,13.5,7,201.3,29.5,21.3,14.4,55.3,26.1
283,bring about,Consequential,Resultative,13.4,11.4,3.3,5.8,13.3,3.8,7.7,5.1
284,highlight,Clarification,Emphasizing,13.1,21.5,8.5,4.5,9,12.9,12.1,10.6
285,plainly,Clarification,Corroborative,13,4.4,2.3,1.8,5.9,10.4,7.4,3.8
286,in my opinion,Clarification,Corroborative,12.9,3.3,7.8,13,2.1,4.1,5.8,5.5
287,the most significant,Clarification,Emphasizing,12.6,11.7,1.1,2.5,9.8,4,6,4.5
288,often,Sequential,Timing,12.5,0,9.2,8.1,22.9,20.4,382.9,345.1
289,usually,Sequential,Timing,12.3,39.8,12,16.3,8.1,30.9,194.2,129.9
290,in case,Consequential,Conditional,12.2,8.4,41.9,18.2,13.9,16.7,26.7,18.9
291,presently,Sequential,Timing,12,12.9,4.7,2.8,8.7,3.6,10,5.9
292,in conclusion,Summation,,11.9,7.2,3.1,0.4,1.9,0.3,3.3,1.7
293,in consequence,Consequential,Resultative,11.8,1.9,1.4,0,7.5,0.4,5.6,0.6
294,notwithstanding,Contrastive,Concessive,11.5,6.5,1.1,1.3,3.9,2.1,7.4,5.8
295,with reference to,Clarification,Emphasizing,11.4,5.1,2.2,0.7,4.6,0.4,4,1.4
296,ironically,Contrastive,Antithetic,11.2,20.9,2,9,12.4,34.6,9.9,12.1
297,more importantly,Clarification,Emphasizing,10.8,12.4,4.6,9.6,7.9,3.8,7.4,6.5
298,parallel to,Comparison,,10.6,6.6,0.8,1.1,7,5.3,5,4.2
299,in doing so,Consequential,Resultative,10.6,9.4,2.1,1.9,6.9,3,5.1,3.7
300,paradoxically,Contrastive,Antithetic,10.4,9.6,0.1,0.5,7.1,8.4,4.5,3.3
301,incidentally,Sequential,Transitionals,10.3,4.4,11.9,7,10.7,3.9,10.5,4.5
302,first of all,Sequential,Ordering,10.2,6.9,76.7,117.1,7.2,5.6,14.3,28.7
303,surely,Clarification,Corroborative,10.1,1.6,9,0.8,8.2,4.2,62,33.8
304,not at all,Sequential,Timing,10,13.3,19.3,27.9,9.6,7.6,14.2,15.5
305,soon after,Sequential,Transitionals,10,11.1,4.5,6.3,15.6,14.9,14.5,11.5
306,additionally,Additive,Reinforcing,10,40.5,1.1,1.5,7.8,4.9,5.9,10.3
307,similarly,Additive,Equative,9.9,64.9,1.1,3,9.5,4.9,46.1,29.9
